0,1,2,8,22,0,23574
1,2,2,15,14,229,0
2,1,1,3,0,237,9976
3,2,2,3,0,230,19776
4,1,2,6,0,229,17097
5,2,1,7,10,229,22361
6,1,1,10,0,286,21912
7,1,2,7,6,0,24942
8,1,1,15,0,268,50222
9,5,2,6,0,283,52082
10,1,2,0,0,0,9212
11,1,1,14,0,0,11224
12,1,2,10,7,236,50547
13,1,2,2,15,229,50003
14,1,2,8,0,229,51516
15,1,1,6,0,227,2868
16,1,2,15,0,0,5662
17,1,2,18,14,0,16444
18,1,1,7,24,268,50963
19,2,2,15,28,230,1996
20,1,1,2,0,228,23665
21,1,2,16,0,0,0
22,1,1,2,0,274,17488
23,2,2,6,0,237,52899
24,2,2,1,0,228,51604
25,2,2,18,9,275,0
26,2,2,2,0,0,9339
27,5,2,6,0,256,50156
28,1,1,9,0,237,50737
29,1,2,6,0,237,50238
30,2,1,2,30,0,9409
31,1,1,6,9,229,50692
32,1,2,15,0,229,0
33,2,2,6,0,231,0
34,1,2,0,0,0,50072
35,1,2,10,22,255,17914
36,1,2,8,3,258,3593
37,5,1,3,0,278,25542
38,1,2,13,0,0,0
39,1,2,7,25,241,9077
40,1,2,2,23,251,5480
41,1,2,0,0,227,60540
42,1,1,16,0,237,1608
43,1,2,9,0,261,0
44,1,2,16,0,229,0
45,1,2,14,18,230,10452
46,1,1,10,29,227,17135
47,1,2,2,25,240,23454
48,2,2,6,0,258,0
49,2,1,2,4,230,16067
50,1,2,12,16,228,0
51,1,1,7,6,233,50112
52,3,1,7,36,276,0
53,2,2,15,18,254,17636
54,1,1,10,0,268,53909
55,1,2,6,15,255,3659
56,1,1,0,0,230,2422
57,1,1,6,41,231,9177
58,1,2,2,23,246,11206
59,1,1,29,0,227,0
60,1,2,18,6,256,9244
61,2,0,39,10,265,0
62,5,2,5,0,0,10187
63,2,2,15,14,247,2048
64,1,1,16,0,237,23323
65,2,1,6,0,230,0
66,2,0,14,26,232,0
67,1,2,6,0,285,25085
68,1,2,5,0,285,50166
69,2,1,1,0,228,16469
